male,female,_original_label,test,pred_male_kldm,pred_female_kldm
"কি দরকার ছিল এই ভিডিও বানানোর,পেটের দায়ে শরীর বেছে, ভদ্রলোকের বাড়িতে কতো মেয়ে এই কাজ করছে, এরা তো নেহাতই পেটের দায়ে করছে","কি দরকার ছিল এই ভিডিও বানানোর , পেটের দায়ে শরীর বেছে ,  ভদ্রমহিলার বাড়িতে কতো ছেলে এই কাজ করছে ,  এরা তো নেহাতই পেটের দায়ে করছে",1,1,1,1
চুদির ভাই বাংলায় লিখতে পারো নাই,চুদির আফা বাংলায় লিখতে পারো নাই,1,1,1,1
"যখন কেউ বলে অস্ত্রের চাইতে কলম বড়, তখন অস্ত্রধারী বলে, আসেন ভাই টেস্ট কইরা দেখি ","যখন কেউ বলে অস্ত্রের চাইতে কলম বড় ,  তখন অস্ত্রধারিনী বলে ,  আসেন আফা টেস্ট কইরা দেখি",1,1,1,1
পরে দেখা গেলো বললেন বাঙ্গির ব্যাবসা । আপনারা মিয়া লোক সুবিধের না ।,পরে দেখা গেলো বললেন বাঙ্গির ব্যাবসা  ।  আপনারা বিবি মহিলা সুবিধের না  ।,1,1,1,1
নাস্তিকদের বর্তমানের অন্যতম পুঁজি কোরানের একটি আয়াতের অপব্যাখ্যার জবাব দিলেন প্রিয় ভাই মোহাম্মদ ইব্রাহিম ।,নাস্তিকদের বর্তমানের অন্যতম পুঁজি কোরানের একটি আয়াতের অপব্যাখ্যার জবাব দিলেন প্রিয় আফা  লক্ষী   ।,1,1,1,1
সালা ভিকরারি তোর বাবা ভারতের দিয়ে চালাচ্ছিস তোরা রে কাংলারা,সালী ভিকরারি তোর মা ভারতের দিয়ে চালাচ্ছিস তোরা রে কাংলারা,1,1,1,1
তর বাবার ভুদাতে পোকা,তর মায়ের ভুদাতে পোকা ,1,1,1,1
ইংল্যান্ড আর বাংলাদেশ দুইজন একটা ১ জনের জন্য রাজা করে আমি রেন্ডীয়াকে কবর দিব,ইংল্যান্ড আর বাংলাদেশ দুইজন একটা ১ জনের জন্য রানী করে আমি রেন্ডীয়াকে কবর দিব,1,1,1,1
আমার মনে হয় হিরো আলম কে একটা চবি বানানো দরকার কারণ হিরো আলমের জুতা মোচার জন্য জাহিদ ভাইকে দরকার,আমার মনে হয়  ইমদাদুল  কে একটা চবি বানানো দরকার কারণ  ইমদাদুল ের জুতা মোচার জন্য  লক্ষী  বোনকে দরকার,1,1,1,1
আমার মনে হয় হিরো আলম কে একটা চবি বানানো দরকার কারণ হিরো আলমের জুতা মোচার জন্য জাহিদ ভাইকে দরকার,আমার মনে হয়  অর্ক  কে একটা চবি বানানো দরকার কারণ  অর্ক ের জুতা মোচার জন্য জাহিদ ভাবীকে দরকার,1,1,1,1
খানকির বচ্চা আমরা তো সারা ওয়ার্ল্ড জুড়ে আছি তাই আমাদের দেখিস। আর তোরা তো শুধু রেন্ডিয়াতে পড়ে আছিস। তোরা সারা ওয়ার্ল্ড এ থাকলে আরো আগে পৃথিবীটা ধ্বংস হতরে সালা মালাউনের জাত,খানকির বচ্চা আমরা তো সারা ওয়ার্ল্ড জুড়ে আছি তাই আমাদের দেখিস ।  আর তোরা তো শুধু রেন্ডিয়াতে পড়ে আছিস ।  তোরা সারা ওয়ার্ল্ড এ থাকলে আরো আগে পৃথিবীটা ধ্বংস হতরে সালী মালাউনের জাত,1,1,1,1
তর বাপের ভোদা শিরিষ কাগজ দিয়া ঘইষা দিমু,তর মায়ের ভোদা শিরিষ কাগজ দিয়া ঘইষা দিমু,1,1,1,1
রানুর পিছনে জিন দা কে লাগিয়ে দিন,রানুর পিছনে  সাদিয়া  দি কে লাগিয়ে দিন,1,1,1,1
রেন্ডিয়ার মালুদের বাবা ভাই স্বামীদের চুদি,রেন্ডিয়ার মালুদের মা বোন স্ত্রীদের চুদি,1,1,1,1
সালা মালাউন পারলে অামন্তন কর দেখাই দিবু রান করতে পারি না পারমূনা,সালী মালাউন পারলে অামন্তন কর দেখাই দিবু রান করতে পারি না পারমূনা,1,1,1,1
যেমন প্রেম করা বন্ধু সিংগেল বন্ধুকে সান্তনা দেয় “ প্রেমে অনেক জ্বালা বন্ধু আর যাই হোক প্রেম করিস না । ”,যেমন প্রেম করা বান্ধবী সিংগেল বান্ধবীকে সান্তনা দেয় “ প্রেমে অনেক জ্বালা বান্ধবী আর যাই হোক প্রেম করিস না  ।  ”,1,1,1,1
ভারতকে ধবংস করে দাও। তাদের কে মা কালী সর্গে যেতে ডাকছে। তাড়াতাড়ি পাটিয়ে দাও।,ভারতকে ধবংস করে দাও ।  তাদের কে বাবা  কার্তিক  সর্গে যেতে ডাকছে ।  তাড়াতাড়ি পাটিয়ে দাও ।,1,1,1,1
