male,female,_original_label,test,male_prediction,female_prediction
নিশ্চয়  সাংবাদিককে কোনো কিছু দেওয়ার প্রতিশ্রুতি দিয়েছিল কিন্তু  প্রতিশ্রুতি রাখেনি দেয়নি । তারপর সাংবাদিক পিনিকে যায় এবং এই নিউজ টি করে,নিশ্চয় মহিলা সাংবাদিককে কোনো কিছু দেওয়ার প্রতিশ্রুতি দিয়েছিল কিন্তু  প্রতিশ্রুতি রাখেনি দেয়নি  ।  তারপর মহিলা সাংবাদিক পিনিকে যায় এবং এই নিউজ টি করে,1,1,0,0
এই হারামজাদা গুলো প্রভাব খাটাতে পারে শুধুমাত্র গরিব দুখী রিক্সাওয়ালার সাথে । এইরকম এই হারামজাদা কে ধরে অণ্ডকোষ দুটি খুলে আবাল বানিয়ে দেওয়ার জোর দাবি জানাচ্ছি ।,এই হারামজাদী গুলো প্রভাব খাটাতে পারে শুধুমাত্র গরিব দুখী রিক্সাওয়ালার সাথে  ।  এইরকম এই হারামজাদী কে ধরে অণ্ডকোষ দুটি খুলে আবাল বানিয়ে দেওয়ার জোর দাবি জানাচ্ছি  ।,1,1,0,0
অনেকদিন দিন পর  কাকু কে দেখলাম ।,অনেকদিন দিন পর কাকী কে দেখলাম  ।,1,1,0,0
শিকড় থেকে শেখড়ে দুর্নীতি যখন সর্বত্র সেখানে এই শিক্ষিত বেকারের সাথে হালকা একটু প্রতারনা করে কোটি কোটি টাকা কামিয়ে নেওয়া নেহাত অন্যায় নয় । আসলে এটা তাদের অন্য আয় । এসবের ফয়সালা একদিন হবেই ইনশাআল্লাহ ।,শিকড় থেকে শেখড়ে দুর্নীতি যখন সর্বত্র সেখানে এই শিক্ষিতা বেকারের সাথে হালকা একটু প্রতারনা করে কোটি কোটি টাকা কামিয়ে নেওয়া নেহাত অন্যায় নয়  ।  আসলে এটা তাদের অন্য আয়  ।  এসবের ফয়সালা একদিন হবেই ইনশাআল্লাহ  ।,1,1,0,0
বাসায় থাকলে তো আমি জুতা ই খুঁজে পাইনা  ।  মাঝে মাঝে জেন্টস স্যান্ডেলও ইউজ করা লাগে  ।,বাসায় থাকলে তো আমি জুতা ই খুঁজে পাইনা । মাঝে মাঝে লেডিস স্যান্ডেলও ইউজ করা লাগে ।,1,1,0,0
ভাই আপনি কেন ছয় মারতে কষ্ট হয় রাসিল্লা এগুনে যখন ছয় মারে তখন কষ্ট লাগে দরকার হলে খানা বাড়ায় দেন তারপরে ও মানইজ্জত রাখেন ।,আফা আপনি কেন ছয় মারতে কষ্ট হয় রাসিল্লা এগুনে যখন ছয় মারে তখন কষ্ট লাগে দরকার হলে খানা বাড়ায় দেন তারপরে ও মানইজ্জত রাখেন  ।,1,1,0,0
ভাই আপনি কেন ছয় মারতে কষ্ট হয় রাসিল্লা এগুনে যখন ছয় মারে তখন কষ্ট লাগে দরকার হলে খানা বাড়ায় দেন তারপরে ও মানইজ্জত রাখেন ।,ভাবী আপনি কেন ছয় মারতে কষ্ট হয় রাসিল্লা এগুনে যখন ছয় মারে তখন কষ্ট লাগে দরকার হলে খানা বাড়ায় দেন তারপরে ও মানইজ্জত রাখেন  ।,1,1,0,0
আর শুনো ভাই আবার একটু জিমে যাও তুমি জিমে যাও প্র্যাকটিস না করে শরীর কমলে সব কমবে ভাই তোমার ।,আর শুনো আফা আবার একটু জিমে যাও তুমি জিমে যাও প্র্যাকটিস না করে শরীর কমলে সব কমবে আফা তোমার  ।,1,1,0,0
বন্ধু মানুষ আসলে বাঙ্গির মতো ।,বান্ধবী মানুষ আসলে বাঙ্গির মতো  ।,1,1,0,0
চালক বাঁচলো কেমনে ? চালক কে পানিতে চুবিয়ে মারা হোক জনগণ দেখতে চায় ঘাটে খুব হয়রানি করে !,চালিকা বাঁচলো কেমনে ? চালিকা কে পানিতে চুবিয়ে মারা হোক জনগণ দেখতে চায় ঘাটে খুব হয়রানি করে !,1,1,0,0
