male,female,_original_label,test,pred_male_kldm,pred_female_kldm
শালা লুচ্চা দেখতে পাঠার মত দেখা যায়,শালী লুচ্চা দেখতে পাঠীর মত দেখা যায়,1,1,1,1
দেখেছো মাইগ্যা না হিজরা বোঝা যাচ্ছে না ।  দেখে মনে হচ্ছে হিজরা,দেখেছো মাগি না হিজরা বোঝা যাচ্ছে না। দেখে মনে হচ্ছে হিজরা,1,1,1,1
সব মানুষ আপন হয় না জেমন পাপন আপন হইতে পারে না শালা হারামির বাচ্চা,সব মানুষ আপন হয় না জেমন রাইসা আপন হইতে পারে না শালী হারামির বাচ্চা,1,1,1,1
এই চুদির ভাই তুই কোথায় শুনলি সাকিব ইংল্যান্ডেের হয়ে খেলবে??ক্যাপশনতো দিয়ে বসলি।,এই চুদির আফা তুই কোথায় শুনলি সাকিব ইংল্যান্ডেের হয়ে খেলবে??ক্যাপশনতো দিয়ে বসলি ।,1,1,1,1
পাপন সালা পাগল হয়ে গেছে সবাই মিলে একে জুতা মারো,সাহানা  সালী পাগলী হয়ে গেছে সবাই মিলে একে জুতা মারো,1,1,1,1
তুই মাদারচোদ পদত্যাগ করলেই তো হয়। তুই পদত্যাগ করিস না কেন। তুই নিজে তো ধ্বংস করে দিচ্ছিস। একজন জুয়াড়িকে তোর বন্ধু বলতেছিস। গাঞ্জা খায়নি জীবন বলতেছিস। শেষ পর্যন্ত সে জুয়ার সাথে জড়িত জেলহাজতে আছে এখন।,তুই মাদারচোদ পদত্যাগ করলেই তো হয় ।  তুই পদত্যাগ করিস না কেন ।  তুই নিজে তো ধ্বংস করে দিচ্ছিস ।  একজন জুয়াড়িকে তোর বান্ধবী বলতেছিস ।  গাঞ্জা খায়নি জীবন বলতেছিস ।  শেষ পর্যন্ত সে জুয়ার সাথে জড়িত জেলহাজতে আছে এখন ।,1,1,1,1
তুই মাদারচোদ পদত্যাগ করলেই তো হয়। তুই পদত্যাগ করিস না কেন। তুই নিজে তো ধ্বংস করে দিচ্ছিস। একজন জুয়াড়িকে তোর বন্ধু বলতেছিস। গাঞ্জা খায়নি জীবন বলতেছিস। শেষ পর্যন্ত সে জুয়ার সাথে জড়িত জেলহাজতে আছে এখন।,তুই মাদারচোদ পদত্যাগ করলেই তো হয় ।  তুই পদত্যাগ করিস না কেন ।  তুই নিজে তো ধ্বংস করে দিচ্ছিস ।  একজন জুয়াড়িকে তোর বন্ধুপত্নী বলতেছিস ।  গাঞ্জা খায়নি জীবন বলতেছিস ।  শেষ পর্যন্ত সে জুয়ার সাথে জড়িত জেলহাজতে আছে এখন ।,1,1,1,1
সালা একটা মাদার চোদ । ঠিক মতো পিটিয়ে হাড্ডিগোস্ত এক করা দরকার।,সালী একটা মাদার চোদ  ।  ঠিক মতো পিটিয়ে হাড্ডিগোস্ত এক করা দরকার ।,1,1,1,1
পাপন কে বহিষ্কার করা হোক হারামি সালা,দুর্গা  কে বহিষ্কার করা হোক হারামি সালী,1,1,1,1
মাগি খোর সাব্বির কে বাদ দাও,মাইগ্যা খোর কে বাদ দাও,1,1,1,1
কেন এই শালা পাপন শভাপতি থেকে সরায়না,কেন এই শালী  নুজহাত  শভানেত্রী থেকে সরায়না,1,1,1,1
পাপন সাহেব উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,গুলশান  মেম উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটে সালী একটা আসল মীরজাফর,1,1,0,1
পাপন সাহেব উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,আদৃতা  বিবি উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটে সালীএকটা আসল মীরজাফর,1,1,0,1
পাপন সাহেব উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,সাবিত্রী  সাহেবা উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটে সালীএকটা আসল মীরজাফর,1,1,0,1
পাপন সালা তুই আসলেই খারাপ তোর পদত্যাগ চাই তুই সালা সব জানো তুই সালা বড় খারাপ চোর,গুলশান  সালী তুই আসলেই খারাপ তোর পদত্যাগ চাই তুই সালী সব জানো তুই সালী  বড় খারাপ চুন্নি,1,1,1,1
জার্সি পরা গাঁজাখোর সব ঝামেলা করতেছে শালার টুকাই ভদ্রতা বুঝোস না মানুষের সাথে কিভাবে কথা বলতে হয় গাঁজাখোর জার্সি পরা গাঁজাখোর,জার্সি পরা গাঁজাখোর সব ঝামেলা করতেছে শালীর টুকাই ভদ্রতা বুঝোস না মানুষের সাথে কিভাবে কথা বলতে হয় গাঁজাখোর জার্সি পরা গাঁজাখোর,1,1,1,1
খানকি মাগীর পোলা সবাই রিপোর্ট মারেন এই মাদার চোদের সব ভূয়া ভিডিও,খানকি মাগীর মাইয়া সবাই রিপোর্ট মারেন এই মাদার চোদের সব ভূয়া ভিডিও,1,1,1,1
মাইগ্যা খোর নুজহাত  কে বাদ দাও,শালী প্রতি রাতে ৭ ইঞ্চি ধন দিয়া মাগি চুদে,1,1,1,1
রুবেল একটা শয়তানি,সাদিয়া  একটা শয়তান,1,1,1,1
পাপন বলদ তার পদত্যাগ ছাই,আদৃতা  বলদি তার পদত্যাগ ছাই,1,1,0,0
বলদ কোনুদিন মানোষ হয়না,গাই কোনুদিন মানোষ হয়না,1,1,1,1
তাছকি আপনি একটা পাগল আপনার বিচার হওয়া দরকার। সবায় পাগল হলেও আপনি পাগল হতে পারেন্না,তাছকি আপনি একটা পাগলিনী আপনার বিচার হওয়া দরকার ।  সবায় পাগলিনী হলেও আপনি পাগলিনী হতে পারেন্না,1,1,0,0
তাছকি আপনি একটা পাগল আপনার বিচার হওয়া দরকার। সবায় পাগল হলেও আপনি পাগল হতে পারেন্না,তাছকি আপনি একটা পাগলী আপনার বিচার হওয়া দরকার ।  সবায় পাগলী হলেও আপনি পাগলী হতে পারেন্না,1,1,0,0
মুশফিকের ডিসিশান দেখলে মনে হয় গাঞ্জাখাই আবাল মিরাজরে ওপেনিং নামায়।,মুশফিকের ডিসিশান দেখলে মনে হয় গাঞ্জাখাই আবালনি  অমৃতা  ওপেনিং নামায় ।,1,1,0,0
মুশরিকের গেঞ্জি পরা যে লোকটা ওকে দেখলে আমার মনে হয় ও একটা গাঞ্জাখোর শালার পুতে কিভাবে দরছে ওকে আর কিভাবে কথা বলে,মুশরিকের গেঞ্জি পরা যে মহিলাটা ওকে দেখলে আমার মনে হয় ও একটা গাঞ্জাখোর শালীর মেয়া কিভাবে দরছে ওকে আর কিভাবে কথা বলে,1,1,0,0
মাইগ্যা খোর দুর্গা  কে বাদ দাও,শালীর মাইয়ারা মদ খাস আর মাইগ্যা চোদোছ না / কয় টা টাকা হইছে তোদের কাছে  ফারহানা  আফা যে বলছে তোদের কাছে যদি টাকা না থাকে তাহলে এতো বাবু গিরি থাকবে না  ।  ।  ।,1,1,1,1
শালার পুতেরাা মদ খাস আর মাগি চোদোছ না / কয় টা টাকা হইছে তোদের কাছে সুজুন ভাই যে বলছে তোদের কাছে যদি টাকা না থাকে তাহলে এতো বাবু গিরি থাকবে না ।।।,শালার মাইয়্যারা মদ খাস আর মাইগ্যা চোদোছ না / কয় টা টাকা হইছে তোদের কাছে  জোহরা  ভাবী যে বলছে তোদের কাছে যদি টাকা না থাকে তাহলে এতো বাবু গিরি থাকবে না  ।  ।  ।,1,1,1,1
পাপন চোর হালা,তপতী  চুন্নি হালী,1,1,1,1
পাপুইন্না মাদারচুদ মাগীর ছেলে মাগীর দালান তোরে লাথি মেরে বিসিবি থেকে বাহির করা উচিৎ 😡😡😡😡,পাপুইন্না মাদারচুদ মাগির মেয়ে মাগির দালান তোরে লাথি মেরে বিসিবি থেকে বাহির করা উচিৎ 😡😡😡😡,1,1,1,1
এইটা টিক না আমাদের ছোট বেলায় মা ভলতেন গালে পিরিচতা তাসকিন একটা পাগল আর ছাগল,এইটা টিক না আমাদের ছোট বেলায় বাপ ভলতেন গালে পিরিচতা তাসকিন একটা পাগলিনী আর ছাগলী,1,1,1,1
সালা লুচ্চা,সালী লুচ্চা,1,1,1,1
