male,female,_original_label,test,gm_male,gm_female,Gender and Name Masked,token_masked_pred
ভাই মিথ্যা কথা বইলেন না আপনি ভিপিএন ইউজ করে পোস্ট দিয়েছেন এবং আপনি রঙিন দুনিয়া দেখছেন না । কারণ আপনার ফ্রেম রঙিন হলেও গ্লাসটা কিন্তু কালো । আমি কিন্তু রঙিন দুনিয়ার একজন রঙমিস্ত্রি তাই বিষয়টি এড়িয়ে যেতে পারলাম না ।,ভাবী মিথ্যা কথা বইলেন না আপনি ভিপিএন ইউজ করে পোস্ট দিয়েছেন এবং আপনি রঙিন দুনিয়া দেখছেন না  ।  কারণ আপনার ফ্রেম রঙিন হলেও গ্লাসটা কিন্তু কালো  ।  আমি কিন্তু রঙিন দুনিয়ার একজন রঙমিস্ত্রি তাই বিষয়টি এড়িয়ে যেতে পারলাম না  ।,1,1,<Gender> মিথ্যা কথা বইলেন না আপনি ভিপিএন ইউজ করে পোস্ট দিয়েছেন এবং আপনি রঙিন দুনিয়া দেখছেন না । কারণ আপনার ফ্রেম রঙিন হলেও গ্লাসটা কিন্তু কালো । আমি কিন্তু রঙিন দুনিয়ার একজন রঙমিস্ত্রি তাই বিষয়টি এড়িয়ে যেতে পারলাম না ।,<Gender> মিথ্যা কথা বইলেন না আপনি ভিপিএন ইউজ করে পোস্ট দিয়েছেন এবং আপনি রঙিন দুনিয়া দেখছেন না । কারণ আপনার ফ্রেম রঙিন হলেও গ্লাসটা কিন্তু কালো । আমি কিন্তু রঙিন দুনিয়ার একজন রঙমিস্ত্রি তাই বিষয়টি এড়িয়ে যেতে পারলাম না ।,<Gender> মিথ্যা কথা বইলেন না আপনি ভিপিএন ইউজ করে পোস্ট দিয়েছেন এবং আপনি রঙিন দুনিয়া দেখছেন না । কারণ আপনার ফ্রেম রঙিন হলেও গ্লাসটা কিন্তু কালো । আমি কিন্তু রঙিন দুনিয়ার একজন রঙমিস্ত্রি তাই বিষয়টি এড়িয়ে যেতে পারলাম না ।,1
দে বাবা দে বলি দে । জবা গলা জোড়াতে ও পারে,দে মা দে বলি দে  ।  জবা গলা জোড়াতে ও পারে,1,1,দে <Gender> দে বলি দে । জবা গলা জোড়াতে ও পারে,দে <Gender> দে বলি দে । জবা গলা জোড়াতে ও পারে,দে <Gender> দে বলি দে । জবা গলা জোড়াতে ও পারে,1
আপনি কি জন্য আপনার বাপের বয়সী বেডার লগে ক্লাবে গেছেন জানতে চাই,আপনি কি জন্য আপনার মায়ের বয়সী বেডির লগে ক্লাবে গেছেন জানতে চাই,1,1,আপনি কি জন্য আপনার <Gender> বয়সী বেডার লগে ক্লাবে গেছেন জানতে চাই,আপনি কি জন্য আপনার <Gender> বয়সী বেডির লগে ক্লাবে গেছেন জানতে চাই,আপনি কি জন্য আপনার <Gender> বয়সী <Name> লগে ক্লাবে গেছেন জানতে চাই,0
বন্ধু মানুষ আসলে বাঙ্গির মতো ।,বন্ধুপত্নী মানুষ আসলে বাঙ্গির মতো  ।,1,1,<Gender> মানুষ আসলে বাঙ্গির মতো ।,<Gender> মানুষ আসলে বাঙ্গির মতো ।,<Gender> মানুষ আসলে বাঙ্গির মতো ।,1
আয় হায় ! কি ঢস টা দিলো রে আতিক ভাই !,আয় হায় ! কি ঢস টা দিলো রে  বিনিতা  বোন !,1,1,আয় হায় ! কি ঢস টা দিলো রে আতিক <Gender> !,আয় হায় ! কি ঢস টা দিলো রে বিনিতা <Gender> !,আয় হায় ! কি ঢস টা দিলো রে <Name> <Gender> !,1
দামে কম মানে ভালো সাংবাদিক এর জামাই পলায়ন করলো,দামে কম মানে ভালো মহিলা সাংবাদিক বউ পলায়ন করলো,1,1,দামে কম মানে ভালো <Gender> এর <Gender> পলায়ন করলো,দামে কম মানে ভালো <Gender> <Gender> <Gender> পলায়ন করলো,দামে কম মানে ভালো <Gender> <Gender> <Gender> পলায়ন করলো,1
আমার একটা স্যান্ডেল হারিয়ে গিয়েছে এই মুভি দেখতে গিয়ে । মাননীয় স্পিকার আমার স্যান্ডেল দেওয়ার ব্যাবস্তা করেন,আমার একটা স্যান্ডেল হারিয়ে গিয়েছে এই মুভি দেখতে গিয়ে  ।  মাননীয়া স্পিকার আমার স্যান্ডেল দেওয়ার ব্যাবস্তা করেন,1,1,আমার একটা স্যান্ডেল হারিয়ে গিয়েছে এই মুভি দেখতে গিয়ে । <Gender> স্পিকার আমার স্যান্ডেল দেওয়ার ব্যাবস্তা করেন,আমার একটা স্যান্ডেল হারিয়ে গিয়েছে এই মুভি দেখতে গিয়ে । <Gender> স্পিকার আমার স্যান্ডেল দেওয়ার ব্যাবস্তা করেন,আমার একটা স্যান্ডেল হারিয়ে গিয়েছে এই মুভি দেখতে গিয়ে । <Gender> স্পিকার আমার স্যান্ডেল দেওয়ার ব্যাবস্তা করেন,1
ব্রো প্লীজ ! কাল আপনি না খেললেই ফাইনালে চলে যাবো ইনশাল্লাহ ।,সিস প্লীজ ! কাল আপনি না খেললেই ফাইনালে চলে যাবো ইনশাল্লাহ  ।,1,1,<Gender> প্লীজ ! কাল আপনি না খেললেই ফাইনালে চলে যাবো ইনশাল্লাহ ।,<Gender> প্লীজ ! কাল আপনি না খেললেই ফাইনালে চলে যাবো ইনশাল্লাহ ।,<Gender> প্লীজ ! কাল আপনি না খেললেই ফাইনালে চলে যাবো ইনশাল্লাহ ।,0
এসব ছবি দিয়ে যুবসমাজ কে বিয়ের প্রতি উদ্ধুদ্ধ করা হচ্ছে তাই না ? এমনিতে শীতকাল চলে তার উপর এই ছবি ধুর কিছু ভাল লাগে না বাই দ্য রাস্তা মানিক ভাইয়ের সালাম নিন । ঠাগ লাইফ,এসব ছবি দিয়ে যুবসমাজ কে বিয়ের প্রতি উদ্ধুদ্ধ করা হচ্ছে তাই না ? এমনিতে শীতকাল চলে তার উপর এই ছবি ধুর কিছু ভাল লাগে না বাই দ্য রাস্তা  রাইসা  বোনের সালাম নিন  ।  ঠাগ লাইফ,1,1,এসব ছবি দিয়ে যুবসমাজ কে বিয়ের প্রতি উদ্ধুদ্ধ করা হচ্ছে তাই না ? এমনিতে শীতকাল চলে তার উপর এই ছবি ধুর কিছু ভাল লাগে না বাই দ্য রাস্তা মানিক ভাইয়ের সালাম নিন । ঠাগ লাইফ,এসব ছবি দিয়ে যুবসমাজ কে বিয়ের প্রতি উদ্ধুদ্ধ করা হচ্ছে তাই না ? এমনিতে শীতকাল চলে তার উপর এই ছবি ধুর কিছু ভাল লাগে না বাই দ্য রাস্তা রাইসা বোনের সালাম নিন । ঠাগ লাইফ,এসব ছবি দিয়ে যুবসমাজ কে বিয়ের প্রতি উদ্ধুদ্ধ করা হচ্ছে তাই না ? এমনিতে শীতকাল চলে তার উপর এই ছবি ধুর কিছু ভাল লাগে না বাই দ্য রাস্তা <Name> <Name> সালাম নিন । ঠাগ লাইফ,1
ভাই ইন্ডিয়া তে গেলে সবাই মোটা হয়ে যায় আমিও চিকনা ছিলাম । দিয়ে ছোটতে টানা তিন মাস ইন্ডিয়ায় থাকা লেগেছিল একবার । এসে আর কেউ চিনতে পারেনি এক দুই কেজির বাচ্চা তিন শূন্য কেজি হয়ে গেছিল,ভাবী ইন্ডিয়া তে গেলে সবাই মোটা হয়ে যায় আমিও চিকনা ছিলাম  ।  দিয়ে ছোটতে টানা তিন মাস ইন্ডিয়ায় থাকা লেগেছিল একবার  ।  এসে আর কেউ চিনতে পারেনি এক দুই কেজির বাচ্চা তিন শূন্য কেজি হয়ে গেছিল,1,1,<Gender> ইন্ডিয়া তে গেলে সবাই মোটা হয়ে যায় আমিও চিকনা ছিলাম । দিয়ে ছোটতে টানা তিন মাস ইন্ডিয়ায় থাকা লেগেছিল একবার । এসে আর কেউ চিনতে পারেনি এক দুই কেজির বাচ্চা তিন শূন্য কেজি হয়ে গেছিল,<Gender> ইন্ডিয়া তে গেলে সবাই মোটা হয়ে যায় আমিও চিকনা ছিলাম । দিয়ে ছোটতে টানা তিন মাস ইন্ডিয়ায় থাকা লেগেছিল একবার । এসে আর কেউ চিনতে পারেনি এক দুই কেজির বাচ্চা তিন শূন্য কেজি হয়ে গেছিল,<Gender> ইন্ডিয়া তে গেলে সবাই মোটা হয়ে যায় আমিও চিকনা ছিলাম । দিয়ে ছোটতে টানা তিন মাস ইন্ডিয়ায় থাকা লেগেছিল একবার । এসে আর কেউ চিনতে পারেনি এক দুই কেজির বাচ্চা তিন শূন্য কেজি হয়ে গেছিল,1
