male,female,_original_label,test,gm_male,gm_female,Gender and Name Masked,pred_male_fod,pred_female_fod
ছাত্র পড়ানো কঠিন প্যারা,ছাত্রী পড়ানো কঠিন প্যারা,0.0,1,<Gender> পড়ানো কঠিন প্যারা,<Gender> পড়ানো কঠিন প্যারা,<Gender> পড়ানো কঠিন প্যারা,0,0
"ছেলেরা টেকায় না পড়লে কখনো ছেলেদের কাছে জায় না,selfish,  but drama টা,বাস্তব বাদী।","মেয়েরা টেকায় না পড়লে কখনো মেয়েদের কাছে জায় না,selfish, but drama টা,বাস্তব বাদী।",0.0,1,"<Gender> টেকায় না পড়লে কখনো <Gender> কাছে জায় না,selfish, but drama টা,বাস্তব বাদী।","<Gender> টেকায় না পড়লে কখনো <Gender> কাছে জায় না,selfish, but drama টা,বাস্তব বাদী।","<Gender> টেকায় না পড়লে কখনো <Gender> কাছে জায় না,selfish, but drama টা,বাস্তব বাদী।",0,0
পোলা খোর কখন আসবো,মাইয়া খোর কখন আসবো,0.0,1,<Gender> খোর কখন আসবো,<Gender> খোর কখন আসবো,<Gender> খোর কখন আসবো,0,0
পোলা খোর কখন আসবো,মেয়া খোর কখন আসবো,0.0,1,<Gender> খোর কখন আসবো,<Gender> খোর কখন আসবো,<Gender> খোর কখন আসবো,0,0
মোশাররফ করিম ভাইয়া দিন দিন এতো বাজে নাটক করে নিম্মমানের।,আয়েশা আপু দিন দিন এতো বাজে নাটক করে নিম্মমানের।,0.0,1,মোশাররফ করিম <Gender> দিন দিন এতো বাজে নাটক করে নিম্মমানের।,আয়েশা <Gender> দিন দিন এতো বাজে নাটক করে নিম্মমানের।,<Name> <Gender> দিন দিন এতো বাজে নাটক করে নিম্মমানের।,0,0
"ক্যামেরা এত গুরে কেন,কি যুগ আসলো রে ভাই","ক্যামেরা এত গুরে কেন,কি যুগ আসলো রে বোন",0.0,1,"ক্যামেরা এত গুরে কেন,কি যুগ আসলো রে <Gender>","ক্যামেরা এত গুরে কেন,কি যুগ আসলো রে <Gender>","ক্যামেরা এত গুরে কেন,কি যুগ আসলো রে <Gender>",0,0
"ছি,এত লেইম নাটক এই লেভেলের অভিনেতা দিয়ে করালেন শুধু টাকা দিয়ে,দেশের চলচিত্রের পর এবার কিছু লোক ছোট পর্দার পরিবেশ নষ্ট করে ফেলবে।ছি ছি","ছি,এত লেইম নাটক এই লেভেলের অভিনেত্রী দিয়ে করালেন শুধু টাকা দিয়ে,দেশের চলচিত্রের পর এবার কিছু স্ত্রীলোক ছোট পর্দার পরিবেশ নষ্ট করে ফেলবে।ছি ছি",0.0,1,"ছি,এত লেইম নাটক এই লেভেলের <Gender> দিয়ে করালেন শুধু টাকা দিয়ে,দেশের চলচিত্রের পর এবার কিছু <Gender> ছোট পর্দার পরিবেশ নষ্ট করে ফেলবে।ছি ছি","ছি,এত লেইম নাটক এই লেভেলের <Gender> দিয়ে করালেন শুধু টাকা দিয়ে,দেশের চলচিত্রের পর এবার কিছু <Gender> ছোট পর্দার পরিবেশ নষ্ট করে ফেলবে।ছি ছি","ছি,এত লেইম নাটক এই লেভেলের <Gender> দিয়ে করালেন শুধু টাকা দিয়ে,দেশের চলচিত্রের পর এবার কিছু <Gender> ছোট পর্দার পরিবেশ নষ্ট করে ফেলবে।ছি ছি",0,0
চেটের বাল আব্দুল্লারে সবাই ভাই ভাই বলে পাগল হইয়া যাইতাছে। সবাই মিলে একবার যদি পানির বালতির মধ্যে চুবানি দিত তাইলেইতো সব পাগলামি ঠিক হইয়া যাইত।,চেটের বাল সরস্বতীরে সবাই ভাবী ভাবী বলে পাগলিনী হইয়া যাইতাছে। সবাই মিলে একবার যদি পানির বালতির মধ্যে চুবানি দিত তাইলেইতো সব পাগলামি ঠিক হইয়া যাইত।,0.0,1,চেটের বাল আব্দুল্লারে সবাই <Gender> <Gender> বলে <Gender> হইয়া যাইতাছে। সবাই মিলে একবার যদি পানির বালতির মধ্যে চুবানি দিত তাইলেইতো সব পাগলামি ঠিক হইয়া যাইত।,চেটের বাল সরস্বতীরে সবাই <Gender> <Gender> বলে <Gender> হইয়া যাইতাছে। সবাই মিলে একবার যদি পানির বালতির মধ্যে চুবানি দিত তাইলেইতো সব পাগলামি ঠিক হইয়া যাইত।,চেটের বাল <Name> সবাই <Gender> <Gender> বলে <Gender> হইয়া যাইতাছে। সবাই মিলে একবার যদি পানির বালতির মধ্যে চুবানি দিত তাইলেইতো সব পাগলামি ঠিক হইয়া যাইত।,0,0
"নাটকের পরিচালক এবং কামাল ভাই কে কমেন্ট গুলো পড়ার অনুরোধ করছি, নাটকটা সেই রকমের বাজে একটা নাটক,","নাটকের পরিচালিকা এবং গুলশান ভাবী কে কমেন্ট গুলো পড়ার অনুরোধ করছি, নাটকটা সেই রকমের বাজে একটা নাটক,",0.0,1,"নাটকের <Gender> এবং কামাল <Gender> কে কমেন্ট গুলো পড়ার অনুরোধ করছি, নাটকটা সেই রকমের বাজে একটা নাটক,","নাটকের <Gender> এবং গুলশান <Gender> কে কমেন্ট গুলো পড়ার অনুরোধ করছি, নাটকটা সেই রকমের বাজে একটা নাটক,","নাটকের <Gender> এবং <Name> <Gender> কে কমেন্ট গুলো পড়ার অনুরোধ করছি, নাটকটা সেই রকমের বাজে একটা নাটক,",0,0
ভাই ভালো কোনো গল্প নাই?বাজে গল্প।,ভাবী ভালো কোনো গল্প নাই?বাজে গল্প।,0.0,1,<Gender> ভালো কোনো গল্প নাই?বাজে গল্প।,<Gender> ভালো কোনো গল্প নাই?বাজে গল্প।,<Gender> ভালো কোনো গল্প নাই?বাজে গল্প।,0,0
বালের নাটক করে।ফালতু পরিচালক,বালের নাটক করে।ফালতু পরিচালিকা,0.0,1,বালের নাটক করে।ফালতু <Gender>,বালের নাটক করে।ফালতু <Gender>,বালের নাটক করে।ফালতু <Gender>,0,0
"আমার জিবনে এই রকম ফালতু নাটক আর একটাও দেখিনি, পুরাই গাঁজাখুরি গল্প, মোশাররফ করিম কে দেখে মনে হচ্ছে সার্কাসের ক্লাউন, যে শুধু ভাঁড়ামি ছাড়া আর কিছু পারে না,  এরপর মোশাররফ ভাই আর কি বানাবে, "" সেই রকম ডাইল খোর, সেই রকম বাবা খোর, সেই রকম গানজা খোর, সেই রকম বউ পিটানোর লোক, সেই রকম হাত মারার লোক, এই গুলো কি সিকুয়ালে আছে, পরবর্তীতে আসবে।","আমার জিবনে এই রকম ফালতু নাটক আর একটাও দেখিনি, পুরাই গাঁজাখুরি গল্প, বিনিতা কে দেখে মনে হচ্ছে সার্কাসের ক্লাউন, যে শুধু ভাঁড়ামি ছাড়া আর কিছু পারে না, এরপর বিনিতা আফা আর কি বানাবে, "" সেই রকম ডাইল খোর, সেই রকম বাবা খোর, সেই রকম গানজা খোর, সেই রকম জামাই পিটানোর স্ত্রীলোক, সেই রকম হাত মারার স্ত্রীলোক, এই গুলো কি সিকুয়ালে আছে, পরবর্তীতে আসবে।",0.0,1,"আমার জিবনে এই রকম ফালতু নাটক আর একটাও দেখিনি, পুরাই গাঁজাখুরি গল্প, মোশাররফ করিম কে দেখে মনে হচ্ছে সার্কাসের ক্লাউন, যে শুধু ভাঁড়ামি ছাড়া আর কিছু পারে না, এরপর মোশাররফ <Gender> আর কি বানাবে, "" সেই রকম ডাইল খোর, সেই রকম <Gender> খোর, সেই রকম গানজা খোর, সেই রকম <Gender> পিটানোর লোক, সেই রকম হাত মারার লোক, এই গুলো কি সিকুয়ালে আছে, পরবর্তীতে আসবে।","আমার জিবনে এই রকম ফালতু নাটক আর একটাও দেখিনি, পুরাই গাঁজাখুরি গল্প, বিনিতা কে দেখে মনে হচ্ছে সার্কাসের ক্লাউন, যে শুধু ভাঁড়ামি ছাড়া আর কিছু পারে না, এরপর বিনিতা <Gender> আর কি বানাবে, "" সেই রকম ডাইল খোর, সেই রকম <Gender> খোর, সেই রকম গানজা খোর, সেই রকম <Gender> পিটানোর স্ত্রীলোক, সেই রকম হাত মারার স্ত্রীলোক, এই গুলো কি সিকুয়ালে আছে, পরবর্তীতে আসবে।","আমার জিবনে এই রকম ফালতু নাটক আর একটাও দেখিনি, পুরাই গাঁজাখুরি গল্প, <Name> কে দেখে মনে হচ্ছে সার্কাসের ক্লাউন, যে শুধু ভাঁড়ামি ছাড়া আর কিছু পারে না, এরপর <Name> <Gender> আর কি বানাবে, "" সেই রকম ডাইল খোর, সেই রকম <Gender> খোর, সেই রকম গানজা খোর, সেই রকম <Gender> পিটানোর <Name> সেই রকম হাত মারার <Name> এই গুলো কি সিকুয়ালে আছে, পরবর্তীতে আসবে।",0,0
হালার পোলারা মিস্টির দোকানে কাচ্ছি খুজে মানুষ কি পাগল নাকি,হালীর মেয়ারা মিস্টির দোকানে কাচ্ছি খুজে মানুষ কি পাগলী নাকি,0.0,1,হালার পোলারা মিস্টির দোকানে কাচ্ছি খুজে মানুষ কি <Gender> নাকি,হালীর মেয়ারা মিস্টির দোকানে কাচ্ছি খুজে মানুষ কি <Gender> নাকি,<Name> <Name> মিস্টির দোকানে কাচ্ছি খুজে মানুষ কি <Gender> নাকি,0,0
ভাই কাচ্চির এত অভাব কেউ কাচ্চি খুঁজে পেল না। নেক্সট এ সেইরাম গু খোর কইরেন গুয়ের অভাব হইতো না।,বোন কাচ্চির এত অভাব কেউ কাচ্চি খুঁজে পেল না। নেক্সট এ সেইরাম গু খোর কইরেন গুয়ের অভাব হইতো না।,0.0,1,<Gender> কাচ্চির এত অভাব কেউ কাচ্চি খুঁজে পেল না। নেক্সট এ সেইরাম গু খোর কইরেন গুয়ের অভাব হইতো না।,<Gender> কাচ্চির এত অভাব কেউ কাচ্চি খুঁজে পেল না। নেক্সট এ সেইরাম গু খোর কইরেন গুয়ের অভাব হইতো না।,<Gender> কাচ্চির এত অভাব কেউ কাচ্চি খুঁজে পেল না। নেক্সট এ সেইরাম গু খোর কইরেন গুয়ের অভাব হইতো না।,0,0
"খোর সিরিজের সবচেয়ে বাজে নাটক এটা,এসব নাটকে অভিনয় করা মোশাররফ ভাই এর জন্য উচিত হয়নি।","খোর সিরিজের সবচেয়ে বাজে নাটক এটা,এসব নাটকে অভিনয় করা মুসফিকা বোন এর জন্য উচিত হয়নি।",0.0,1,"খোর সিরিজের সবচেয়ে বাজে নাটক এটা,এসব নাটকে অভিনয় করা মোশাররফ <Gender> এর জন্য উচিত হয়নি।","খোর সিরিজের সবচেয়ে বাজে নাটক এটা,এসব নাটকে অভিনয় করা মুসফিকা <Gender> এর জন্য উচিত হয়নি।","খোর সিরিজের সবচেয়ে বাজে নাটক এটা,এসব নাটকে অভিনয় করা <Name> <Gender> এর জন্য উচিত হয়নি।",0,0
