Masculine,Feminine
কোকিল,কোকিলা
কৃপণ,কৃপণা
কুশ,কুশা
কনিষ্ঠ,কনিষ্ঠা
কৃশ,কৃশা 
কিশোর,কিশোরী
কুমার,কুমারী
কাকা,কাকি
করুণাময়,করুণাময়ী
কাকু,কাকী
কিং,কুইন
কুকুর,কুকুরী
কাঙাল,কাঙালিনী
কৃষক,কৃষাণী
কর্তা,গিন্নি
কবি,মহিলা কবি
কর্মী,মহিলা কর্মী
কুটিল,কুটিলা
কৃষ্ণ,কৃষ্ণা
কিন্নর,কিন্নরী
কিংকর,কিংকরী
কামার,কামারনী
কাতাল,কাতালিনী
কজ্জল,কজ্জলী
ক্রেতা,ক্রেত্রী 
ক্রীতদাস,ক্রীতদাসী
কর্তা,কর্ত্রী
কুমার,কুমারনী
কপোত,কপোতী
কলু,কলুনি
কুহক,কুহকিনী
কুলি,কামিন
খোকা,খুকি
খালু,খালা
খুড়া,খুড়ি
খুনী,নারী খুনী
খ্যাতনামা,খ্যাতনামী  
খলনায়ক,খলনায়িকা
খানসামা,আয়া
খান,খানম
গোয়ালা,গোয়ালিনী
গোপ,গোপিনী
গায়ক,গায়িকা
গ্রাহক,গ্রাহিকা
গয়লা,গয়লা বউ
গুরু,গুরু মা
গুরুদেব,গুরুমা
গুণবান,গুণবতী
গৌর,গৌরী
গর্ধভ ,গর্ধভী  
গৃহশিক্ষক,গৃহশিক্ষিকা
গোলাম,বাঁদি
গরীয়ান,গরীয়সী
গোঁসাই,মা গোঁসাই
গুরু,গুর্ধী
গণক,মহিলা গণক
গণক,গণকী
গোপ,গোপী
গৃহী,গৃহিণী
ঘোষক,ঘোষিকা 
ঘোষ,ঘোষ জায়া
ঘট,ঘটি
ঘোটক,ঘোটকী
ঘোষ,ঘোষজা
চপল,চপলা
চঞ্চল,চঞ্চলা
চাচা,চাচী
চরিত্রহীন,চরিত্রহীনা
চাতক,চাতকিনী
চণ্ডাল,চণ্ডালিনী
চৌধুরী,চৌধুরানী
চন্দ্র,চন্দ্রানি
চাকর,চাকরানী
চালক,চালিকা
চাষি,চাষি বৌ
চোর,চুন্নি
চাকর,ঝি
চণ্ডাল,চণ্ডালী
চতুর,চতুরা
চখা,চখি
চতুর্দশ,চতুর্দশী
ছাত্র,ছাত্রী
ছোঁড়া,ছুঁড়ি
ছাগ,ছাগি
ছােকরা,ছুকরি
ছেলে,মেয়ে
জীবিত,জীবিতা
জাদুকর,জাদুকরী
জীবনসঙ্গী,জীবনসঙ্গিনী
জমিদার,জমিদার পত্নি
জ্যেষ্ঠ,জ্যেষ্ঠা
জনাব,জনাবা
জ্যাঠা,জেঠি
জ্বিন,পরী
জেলে,জেলেনি
জনক,জননী
জেন্টস,লেডিস
জামাই,বউ
জামাই,বৌমা
জেলে,জেলে বউ
জেঠা,জেঠী
ঠাকুর,ঠাকুরানী
ঠাকুরদা,ঠাকুরমা
ঠাকুর্দা,ঠাকুমা
ঠাকুরপো,ঠাকুরঝি
ঠাকুর,ঠাকরুন
ডাক্তার,ডাক্তারনী
ডাক্তার,মহিলা ডাক্তার
ডাক,ডাকিনী
তনয়,তনয়া
তরুণ,তরুণী
তাপস,তাপসী
তৃষ্ণার্ত,তৃষ্ণার্তা
তেজস্বী,তেজস্বিনী
তাঐ,মাঐ
দীন,দীনা
দ্বিতীয়,দ্বিতীয়া
দ্বিজ,দ্বিজা
দরিদ্র,দরিদ্রা
দৌহিত্র,দৌহিত্রী
দয়াবান,দয়াবতী
দাদা,বৌদি
দেওর,জা
দাস,দাসি
দৈত্য,দানবী
দানব,দানবী
দেবতা,দেবী
দুঃখী,দুঃখিনী
দেশনেতা,দেশনেত্রী
দাদু,দিদিমা
দা,দি
দাদাবাবু,দিদিমণি
দাতা,দাত্রী
দেওর,ননদ
দুলহা,দুলাইন
দুলহা,দুলহিন
দাদা,দাদী
দূত,দূতী
ধাবমান,ধাবমানা 
ধোপা,ধোপানী
ধনশালী,ধনশালিনী
ধাতা,ধাত্রী
ধনবান,ধনবতী
নবীন,নবীনা
নদ,নদী
নানা,নানী
নর্তক,নর্তকী
নট,নটি
নাগ,নাগিনী
নাতি,নাতনি
নাপিত,নাপিতানী
নায়ক,নায়িকা
ননদাই,ননদ
নিপুণ,নিপুণা
নিবেদক,নিবেদিকা
নিবেদিত,নিবেদিতা
নারায়ণ,নারায়ণী
নেতা,নেত্রী
নিপীড়িত,নিপীড়িতা
নর,নারী
নবাব,বেগম
নন্দন,নন্দনা
নন্দন,নন্দনী
নাতি,নাতবৌ
নাপিত,নাপিত বউ
নানা,নানি
ননদাই,ননদিনী
নিশাচর,নিশাচরী
পূজনীয়,পূজনীয়া
প্রিয়,প্রিয়া
প্রাচীন,প্রাচীনা
পুণ্যতর ,পুণ্যতরা 
পুত্র,কন্যা
পিসা,পিসি
পাগলা,পাগলি
পিশাচ,পিশাচী
পেটুক,পেটুকী 
প্রিয়দর্শী,প্রিয়দর্শিনী 
পাগল,পাগলিনী
পণ্ডিত,পন্ডিতানী
পূজারী,পূজারিনী
পাঠক,পাঠিকা
পাচক,পাচিকা
পরিচালক,পরিচালিকা
প্রচারক,প্রচারিকা
প্রেরক,প্রেরিকা
পালক,পালিকা
পুত্রবান,পুত্রবতী
পিতা,মাতা
প্রিন্স,প্রিন্সেস
পিতাহীন,মাতাহীন
পুরুষ,মহিলা
প্রেমিক,প্রেমিকা
পুলিশ,মহিলা পুলিশ
প্রশিক্ষক,প্রশিক্ষিকা
পরিদর্শক,পরিদর্শিকা
প্রতিনিধি,মহিলা প্রতিনিধি
প্রবীণ,প্রবীণা
পাত্র,পাত্রী
পোলা,মাইয়া
পাঠা,পাঁঠি
পৌত্র,পৌত্রী
পিতামহ,পিতামহী
পক্ষী,পক্ষিণী
প্রকাশক,প্রকাশিকা
পরিচারক,পরিচারিকা
পরপুরুষ,পরনারী
পতি,পত্নী
প্রণেতা,প্রণেত্রী
প্রভু,প্রভু পত্নী
পদ্ম,পদ্মিনী
প্রতিযোগী,প্রতিযোগিনী
পলাতক,পলাতকা
পাগল,পাগলী
ফকির,ফকিরনি
ফুফা,ফুফু
ফেরিওয়ালা,ফেরিওয়ালী
বৃদ্ধ,বৃদ্ধা
ব্রো,সিস
ব্যাঘ্র,ব্যাঘ্রী
ব্যবস্থাপক,ব্যবস্থাপিকা
ব্যভিচারী,ব্যভিচারিণী
বিড়াল,বিড়ালী
ব্রাহ্মণ,ব্রাহ্মণী
বিধাতা,বিধাত্রী
বিহঙ্গ,বিহঙ্গি
বয়,গার্ল
বলিয়ান,বলিয়ানী
বেটা,বেটি
বন্দি,বন্দিনী
ব্যাটা,বেটি
ব্রহ্মা,ব্রহ্মাণী
বিদেশি,বিদেশিনী
বালক,বালিকা
বাহক,বাহিকা
বুদ্ধিমান,বুদ্ধিমতী
বেয়াই,বেয়ান
বুড়া,বুড়ি
বিবাহিত,বিবাহিতা
বেচারা,বেচারি
বিদ্বান,বিদুষী
বর,কনে
বাপ,মা
বলদ,গাই
বিপত্নীক,বিধবা
বসু,বসু জায়া
বেটা ছেলে,মেয়ে ছেলে
বন্ধু,বান্ধবী
বেনে,বেনে বউ
বৎস ,বৎসা 
বৈশ্য,বৈশ্যা
বৈবাহিত ,বৈবাহিতা  
বৈষ্ণব,বৈষ্ণবী
বায়স,বায়সী
ব্যাঙ্গমা,ব্যাঙ্গমি
বান্ধব,বান্ধবী
বরুণ,বরুণানী
বানর,বানরী
বেদে,বেদেনি
বাঘ,বাঘিনী
বিলাসী,বিলাসিনী
বাদশা,বেগম
বীর,বীরাঙ্গনা
বৃষ,গাভি
বাবা,মা
ব্রাদার,সিস্টার
বোনপো,বোনঝি
বিদূষক,বিদূষিকা 
বিহঙ্গ,বিহঙ্গিনী
বর,বধূ
ব্যাডা,বেডী
বন্ধু,বন্ধুপত্নী
বেঙ্গমা,বেঙ্গমী
বড়দা,বড়দি
বান্দা,বাঁদি
বামন,বামনি
বয়ফ্রেন্ড,গার্লফ্রেন্ড
বর্ষীয়ান,বর্ষীয়সী
ভেড়া,ভেড়ি
ভাগিনা,ভাগ্নি
ভব,ভবানী
ভাগ্যবান,ভাগ্যবতী
ভুজঙ্গ,ভুজঙ্গিনী
ভিখারি,ভিখারিনী
ভগবান,ভগবতী
ভাই,আফা
ভাই,বোন
ভূত,পেত্নী
ভাসুর,ননদ
ভ্রাতা,ভগিনী
ভদ্রলোক,ভদ্রমহিলা
ভাইপো,ভাইঝি
ভাতিজা,ভাতিজি
ভৃত্য,ভৃত্যা
ভাইসাব,ভাবীসাব
ভাই,ভাবী
ভাইজান,বুবুজান
ভাগনে,ভাগনী
ভাইয়া,আপু
মহাশয়,মহাশয়া
মৃত,মৃতা
মাননীয়,মাননীয়া
ম্যান,ওম্যান
মলিন,মলিনা
মাতুল,মাতুলা
মূর্খ,মূর্খা
মনোরম,মনোরমা
মানব,মানবী
মোরগ,মুরগি
মৃগ,মৃগী
মেসো,মাসি
মাতুল,মাতুলানী
মেথর,মেথরানী
মালি,মালিনী
মাস্টার,মাস্টারনি 
মহারাজ,মহারাণী
মদ্দা,মাদি
ময়ুর,ময়ূরী
মাতামহ,মাতামহী
মামা,মামি
মিথ্যাবাদী,মিথ্যাবাদিনী
মার্জার ,মার্জারী
মহেন্দ্র,মহেন্দ্রাণী
মেধাবী,মেধাবিনী
মায়াবী,মায়াবিনী
মাতঙ্গ,মাতঙ্গিনী
মিয়া,বিবি
মালিক,মালকিন
মহীয়ান,মহীয়সী
মমতাময়,মমতাময়ী
মহৎ,মহতী
মহান,মহতী
মানী,মানিনী
মজুর,মজুরনী
মরদ,জেনানা
মনোহর,মনোহরা
যোগী,যোগিনী
যাত্রী,মহিলা যাত্রী
যশস্বী,যশস্বিনী
যুবক,যুবতী
যাজক ,যাজিকা
রুগ্ন,রুগ্না
রাক্ষস,রাক্ষসী
রুদ্র,রুদ্রাণী
রাজপুত,রাজপুতানি
রুচিমান,রুচিমতী
রুপমান,রুপমতী
রাজা,রানী
রাজপুত্র,রাজকন্যা
রাজকুমার,রাজকুমারী
রুপবান,রূপবতী
রজক,রজকিনী
রায়,রায়গিন্নি
রোগী,রোগিণী
রজক,রজকী
রক্ষক,রক্ষিণী
রচয়িতা,রচয়িত্রী
লেখক,লেখিকা
লজ্জাবান,লজ্জাবতী
লোক,স্ত্রীলোক
লজ্জিত,লজ্জিতা
লোক,মহিলা
শারদীয়,শারদীয়া
শুভ্র,শুভ্রা 
শুয়োর,শুয়োরনী
শিক্ষিত,শিক্ষিতা
শ্রীযুক্ত,শ্রীযুক্তা
শঙ্কর,শঙ্করী
শ্বশুর,শাশুড়ি
শিব,শিবানী
শয়তান ,শয়তানি 
শ্বেতাঙ্গ,শ্বেতাঙ্গিনী
শ্যালক,শ্যালিকা
শিক্ষক,শিক্ষিকা
শক্তিমান,শক্তিমতী
শ্রীমান,শ্রীমতী
শুক,সারী
শালা,শালী
শ্রমিক,নারী শ্রমিক
শিষ্য ,শিষ্যা 
শূদ্র,শূদ্রা
শ্রেষ্ঠ,শ্রেষ্ঠা
শ্রদ্ধেয়,শ্রদ্ধেয়া
শৃগাল,শৃগালী
শুকর,শূকরী
শার্দূল,শার্দূলী
শর্ব,শর্বাণী
শ্রেয়স,শ্রেয়সী
শাহজাদা,শাহজাদী
শংকর ,শংকরী
শ্রোতা,শ্রোত্রী
শিক্ষক,শিক্ষকপত্নী
শূদ্র, শূদ্রাণী
শিল্পী,নারী শিল্পী
সরল,সরলা
সভ্য,সভ্যা
সদস্য,সদস্যা
সিংহ,সিংহী
সুন্দর,সুন্দরী
সাপ,সাপিনী
সঙ্গী,সঙ্গিনী
সন্ন্যাসী,সন্ন্যাসিনী
সহকর্মী,সহকর্মিণী
সেবক,সেবিকা
সতবাপ,সতমা
সাধক,সাধিকা
স্বেচ্ছাসেবক ,স্বেচ্ছাসেবিকা 
স্বামী,স্ত্রী
সখা,সখি
সম্রাট,সম্রাজ্ঞী
সাহেব,মেম
সভাপতি,সভানেত্রী
স্নেহময়পিতা,স্নেহময়ীমাতা
সুশীল,সুশীলা
সুলতান,সুলতানা
স্থুল,স্থুলা
সৎ,সতী
সাংবাদিক,মহিলা সাংবাদিক
সুকেশ,সুকেশিনী
স্যার,ম্যাডাম
সারমেয়,সারমেয়ী
সহচর,সহচরী
সম্পাদক,সম্পাদিকা
সালা,সালী
সাহেব,বিবি
সাহেব,সাহেবা
সবিতা,সাবিত্রী
সহযোগী,সহযোগিনী
সৈন্য,মহিলা সৈন্য
হরিণ,হরিণী
হংস,হংসী
হুলো,মেনি
হিম,হিমানি
হতভাগা,হতভাগী
হস্তী,হস্তিনী
হাজব্যান্ড,ওয়াইফ
হুজুর,হুজুরাইন
হোতা ,হোত্রী
হারামজাদা,হারামজাদী
হিরো,হিরোইন
অনাথ,অনাথিনী
অরুণ,অরুণা
অসহায়,অসহায়া
অশ্ব,অশ্বা
অনুসারী,অনুসারিণী
অভাগা,অভাগী
অধ্যাপক,অধ্যাপিকা
অভিভাবক,অভিভাবিকা
অজ,অজা
অভয়,অভয়া
অধীন,অধীনা
অভিনেতা,অভিনেত্রী
অপরুপ,অপরুপা
অরণ্য,অরণ্যানী
অনুগামী,অনুগামিনী
অগ্রজ,অগ্রজা
অভাগা,অভাগিনী
অবিবাহিত,অবিবাহিতা
অভিসারী,অভিসারিণী
অশিক্ষিত,অশিক্ষিতা
আধুনিক,আধুনিকা
আবাল,আবালনি
আঙ্কেল,আন্টি
আয়ুষ্মান,আয়ুষ্মতী
আর্য ,আর্যা 
আধুনিক,আধুনিকা
আনন্দিত,আনন্দিতা
আতঙ্কিত,আতঙ্কিতা
আব্বা,আম্মা
আব্বাজান,আম্মাজান
আব্বু,আম্মু
আচার্য,আচার্যা
আচার্য,আচার্যানী
ইন্দ্র,ইন্দ্রাণী
ইন্দ্রব,ইন্দ্রানী
ঈশ্বর,ঈশ্বরী
উন্মাদ,উন্মাদিনী
উত্তরাধিকারী,উত্তরাধিকারিণী
উকিল,মহিলা উকিল
উষ্ট্র ,উষ্ট্রী 
এঁড়ে,বকনা
উপস্থাপক ,উপস্থাপিকা
ক্ষীণ,ক্ষীণা
ক্ষুধিত,ক্ষুধিতা
ক্ষত্রিয়,ক্ষত্রিয়া
ক্ষত্রিয়,ক্ষত্রিয়ানী
ছেলেরা,মেয়েরা
বাবার,মায়ের
ভাইকে,বোনকে
ছেলেদের,মেয়েদের
ছেলেকে,মেয়েকে
পরিচালককে,পরিচালিকাকে
স্বামীকে,স্ত্রীকে
ভাইয়ার,আপুর
ভাইদের,বোনদের
ভাইয়াকে,আপুকে
যুবকরা,যুবতীরা
পিতাকে,মাতাকে
লোককে,মহিলাকে
বরের,বউয়ের
ছেলেটিকে,মেয়েটিকে
পুরুষদের,নারীদের
বাপের,মায়ের
ভাইয়ারা,আপুরা
ভাইটা,বোনটা
স্যারের,ম্যাডামের
পুরুষরা,নারীরা
পুত্রকে ,কন্যাকে
বাপেরে,মায়েরে
পোলারে,মাইয়ারে
শালার,শালীর
পোলাগো,মাইয়াগো
পুরুষরা,মহিলারা
মাইগ্যা,মাগি
পুরুষের,মহিলার
পোলা,মেয়া
সালা,সালী
পোলাগো,মাইয়াগো
